PracticeCode,Sex,Attribute,Value
13091,Female,Ages 65 to 74,210
13091,Female,Ages 75 to 84,140
13091,Female,Ages 85 plus,53
13142,Male,Ages 0 to 4,98
13142,Male,Ages 5 to 14,219
13142,Male,Ages 15 to 24,174
13142,Male,Ages 25 to 44,401
13142,Male,Ages 45 to 64,505
13142,Male,Ages 65 to 74,201
13142,Male,Ages 75 to 84,108
13142,Male,Ages 85 plus,44
13142,Female,Ages 0 to 4,100
13142,Female,Ages 5 to 14,190
13142,Female,Ages 15 to 24,155
13142,Female,Ages 25 to 44,450
13142,Female,Ages 45 to 64,523
13142,Female,Ages 65 to 74,189
13142,Female,Ages 75 to 84,124
13142,Female,Ages 85 plus,46
13195,Male,Ages 0 to 4,104
13195,Male,Ages 5 to 14,217
13195,Male,Ages 15 to 24,213
13195,Male,Ages 25 to 44,493
13195,Male,Ages 45 to 64,605
13195,Male,Ages 65 to 74,303
13195,Male,Ages 75 to 84,208
13195,Male,Ages 85 plus,57
13195,Female,Ages 0 to 4,89
13195,Female,Ages 5 to 14,233
13195,Female,Ages 15 to 24,218
13195,Female,Ages 25 to 44,539
13195,Female,Ages 45 to 64,655
13195,Female,Ages 65 to 74,337
13195,Female,Ages 75 to 84,249
13195,Female,Ages 85 plus,91
13231,Male,Ages 0 to 4,148
13231,Male,Ages 5 to 14,461
13231,Male,Ages 15 to 24,478
13231,Male,Ages 25 to 44,1072
13231,Male,Ages 45 to 64,1387
13231,Male,Ages 65 to 74,604
13231,Male,Ages 75 to 84,427
13231,Male,Ages 85 plus,100
13231,Female,Ages 0 to 4,152
13231,Female,Ages 5 to 14,438
13231,Female,Ages 15 to 24,435
13231,Female,Ages 25 to 44,976
13231,Female,Ages 45 to 64,1323
13231,Female,Ages 65 to 74,597
13231,Female,Ages 75 to 84,417
13231,Female,Ages 85 plus,166
13284,Male,Ages 0 to 4,175
13284,Male,Ages 5 to 14,366
13284,Male,Ages 15 to 24,350
13284,Male,Ages 25 to 44,820
13284,Male,Ages 45 to 64,961
13284,Male,Ages 65 to 74,445
13284,Male,Ages 75 to 84,284
13284,Male,Ages 85 plus,94
13284,Female,Ages 0 to 4,169
13284,Female,Ages 5 to 14,331
13284,Female,Ages 15 to 24,370
13284,Female,Ages 25 to 44,888
13284,Female,Ages 45 to 64,1059
13284,Female,Ages 65 to 74,483
13284,Female,Ages 75 to 84,316
13284,Female,Ages 85 plus,146
13481,Male,Ages 0 to 4,159
13481,Male,Ages 5 to 14,504
13481,Male,Ages 15 to 24,525
13481,Male,Ages 25 to 44,908
13481,Male,Ages 45 to 64,1460
13481,Male,Ages 65 to 74,644
13481,Male,Ages 75 to 84,417
13481,Male,Ages 85 plus,117
13481,Female,Ages 0 to 4,182
13481,Female,Ages 5 to 14,480
13481,Female,Ages 15 to 24,486
13481,Female,Ages 25 to 44,960
13481,Female,Ages 45 to 64,1561
13481,Female,Ages 65 to 74,678
13481,Female,Ages 75 to 84,489
13481,Female,Ages 85 plus,161
13496,Male,Ages 0 to 4,125
13496,Male,Ages 5 to 14,281
13496,Male,Ages 15 to 24,221
13496,Male,Ages 25 to 44,515
13496,Male,Ages 45 to 64,586
13496,Male,Ages 65 to 74,293
13496,Male,Ages 75 to 84,171
13496,Male,Ages 85 plus,40
13496,Female,Ages 0 to 4,119
13496,Female,Ages 5 to 14,280
13496,Female,Ages 15 to 24,191
13496,Female,Ages 25 to 44,571
13496,Female,Ages 45 to 64,630
13496,Female,Ages 65 to 74,280
13496,Female,Ages 75 to 84,165
13496,Female,Ages 85 plus,67
13532,Male,Ages 0 to 4,170
13532,Male,Ages 5 to 14,494
13532,Male,Ages 15 to 24,472
13532,Male,Ages 25 to 44,993
13532,Male,Ages 45 to 64,1239
13532,Male,Ages 65 to 74,532
13532,Male,Ages 75 to 84,380
13532,Male,Ages 85 plus,86
13532,Female,Ages 0 to 4,174
13532,Female,Ages 5 to 14,438
13532,Female,Ages 15 to 24,422
